Game,My Top,My Jungle,My Mid,My ADC,My Support,Enemy Top,Enemy Jungle,Enemy Mid,Enemy ADC,Enemy Support,Top KDA difference,Jungle KDA difference,Mid KDA difference,ADC KDA difference,Support KDA difference,Win/Loss,Bot lane KDA Average,Mid/JGl/Top KDA Average,KDA difference Average
1,Poppy,Viego,Lux,Jinx,Sona,Riven,Graves,Akali,Miss Fortune,Neeko,0.3,11.4,12.7,0,2,W,1,8.1,5.3
2,Camille,Jarvan IV,Akali,Kai'Sa,Thresh,Malphite,Graves,Aniva,Miss Fortune,Morgana,-1.5,-1.1,-0.9,1.5,3.2,W,2.4,-1.2,0.2
3,Sett,Warwick,Kassadin,Miss Fortune,Thresh,Renekton,Kayn,Ahri,Kai'Sa,Leona,7.1,13,3.5,5.5,5.5,W,5.5,7.9,6.9
4,Renekton,Warwick,Azir,Miss Fortune,Rakan,Darius,Nocturne,Ahri,Xayah,Thresh,1,1.3,3.2,2.6,2.6,W,2.6,1.8,2.1
5,Swain,Trundle,Lux,Samira,Pantheon,Jhin,Kayn,Diana,Caitlyn,Nautilus,7,3.5,10.3,1.6,0.5,W,1.1,6.9,4.6
6,Singed,Kayn,Lux,Kai'Sa,Thresh,Millio,Warwick,Akali,Jinx,Neeko,3.5,14.3,1.8,-0.2,1.2,W,0.5,6.5,4.1
7,Garen,Jax,Lux,Ashe,Leona,Naafiri,Master Yi,Katarina,Miss Fortune,Xerath,-2.4,-15,-0.8,-3.5,-23.2,L,-13.4,-6.1,-9
8,Gangplank,Graves,Yone,Miss Fortune,Zyra,Maokai,Hecarim,Lux,Varus,Seraphine,-2.5,-5.1,-8.1,-5.2,-3.1,L,-4.2,-5.2,-4.8
9,Teemo,Zac,Leblanc,Ezreal,Lux,Nasus,Evelynn,Aurelion Sol,Caitlyn,Senna,1,0.5,0.7,2.1,2.6,W,2.4,0.7,1.4
10,Irelia,Rammus,Vex,Ashe,Lux,Volibear,Viego,Kassadin,Miss Fortune,Leona,-1.8,-0.1,2.3,3.3,5.6,L,4.5,0.1,1.9
11,Gnar,Rammus,Zoe,Kai'Sa,Pyke,Yorick,Kha'Zix,Twisted Fate,Jhin,Shen,0,3.5,6.7,16,1.3,W,8.7,3.4,5.5
12,Sion,Amumu,Lux,Caitlyn,Sett,Vladmir,Master Yi,Twitch,Ezreal,Soraka,4.2,9.2,1.5,8.9,11.5,W,10.2,5,7.1
13,Camille,Jarvan IV,Zoe,Kai'Sa,Karma,Wukong,Viego,Brand,Ashe,Rell,0.1,-2.8,-2.3,-7.2,-20.3,L,-13.8,-1.7,-6.5
14,Cho'Gath,Zac,Lux,Ashe,Thresh,Illaoi,Kayn,Annie,Sivir,Swain,2.1,-9.4,-2.2,0.5,-4.3,L,-1.9,-3.2,-2.7
15,Fiddlesticks,Poppy,Fizz,Miss Fortune,Karma,K'Sante,Trundle,Taliyah,Ezreal,Morgana,-0.4,2.1,7.6,20,3.5,W,11.8,3.1,6.6
16,Sett,Zed,Swain,Kai'Sa,Teemo,K'Sante,Fiddlesticks,Dr. Mundo,Caitlyn,Morgana,1.3,0.2,-0.5,0.6,0,W,0.3,0.3,0.3
17,Fiora,Evelynn,Fizz,Kai'Sa,Sona,Riven,Jarvan IV,Lee Sin,Jhin,Nunu & Willump,1.9,0.9,1.5,3.2,2.9,W,3.1,1.4,2.1
18,Garen,Poppy,Vladmir,Kai'Sa,Blitzcrank,Mordekaiser,Jarvan IV,Yone,Tristana,Morgana,-0.3,-6.7,-2.8,-2.3,-26.1,L,-14.2,-3.3,-7.6
19,Tryndamere,Warwick,Fizz,Miss Fortune,Lux,Sion,Evelynn,Galio,Kai'Sa,Nautilus,-2.6,-0.6,-3.4,-1.9,-2.8,L,-2.4,-2.2,-2.3
20,Aatrox,Hecarim,Twisted Fate,Sivir,Sona,Teemo,Graves,Akali,Twitch,Tryndamere,0,0.4,4.6,1.3,1,W,1.2,1.7,1.5
21,Irelia,Kha'Zix,Zed,Ezreal,Taric,Dr. Mundo,Nunu & Willump,Yone,Samira,Morgana,-3.5,-9.6,-5.8,-9.7,-12,L,-10.9,-6.3,-8.1
22,Akshan,Nunu & Willump,Veigar,Caitlyn,Shaco,Singed,Sion,Galio,Kai'Sa,Yuumi,-2.4,-3.1,-1.3,-9.5,-22.4,L,-16,-2.3,-7.7
23,Illaoi,Evelynn,Zed,Caitlyn,Twitch,Yone,Lillia,Katarina,Jinx,Brand,-0.3,3.1,0.9,-0.2,1.6,W,0.7,1.2,1
24,Quinn,Graves,Malzahar,Kai'Sa,Janna,Fiora,Teemo,Galio,Evreal,Yuumi,0.4,3,1.9,0.5,1.5,W,1,1.8,1.5
25,Urgot,Lee Sin,Rumble,Ashe,Twitch,Quinn,Viego,Twisted Fate,Jhin,Soraka,-1.6,-21.9,0,-12.8,-3.7,L,-8.3,-7.8,-8
26,Tryndamere,Udyr,Pantheon,Kai'Sa,Lux,Sion,Kha'Zix,Malzahar,Vayne,Seraphine,1.1,1.4,-3,-7.5,-1.7,L,-4.6,-0.2,-1.9
27,Aatrox,Shyvana,Nasus,Caitlyn,Zyra,Gnar,Jarvan IV,Cassiopeia,Kai'Sa,Veigar,1.6,3.6,-0.1,1.7,-1.1,W,0.3,1.7,1.1
28,Akshan,Viego,Akali,Kai'Sa,Zyra,Yone,Warwick,Pantheon,Caitlyn,Lux,-5.9,-6.4,-5.7,1,5.5,L,3.3,-6,-2.3
29,Renekton,Jarvan IV,Vex,Miss Fortune,Shaco,Udyr,Maokai,Qiyana,Vayne,Yuumi,1.1,1.3,0.4,-6.6,-8.3,L,-7.5,0.9,-2.4
30,Aatrox,Ekko,Vladmir,Sivir,Soraka,Teemo,Kayn,Irelia,Kai'Sa,Senna,2.7,12,2.4,10.9,8.9,W,9.9,5.7,7.4
31,Jax,Shyvana,Ekko,Miss Fortune,Zyra,Illaoi,Udyr,Twitch,Ziggs,Alistar,3.1,9.5,3.8,2,1.3,W,1.7,5.5,3.9
32,Dr. Mundo,Kayn,Cassiopeia,Sivir,Morgana,Renekton,Lee Sin,Aurelion Sol,Jhin,Zyra,-2.6,-1.4,-6.4,-3.8,-2.7,L,-3.3,-3.5,-3.4
33,Riven,Rengar,Aurelion Sol,Ezreal,Lux,Fiora,Hecarim,Ahri,Ashe,Pantheon,0.9,5.2,3.1,8.2,10.7,W,9.5,3.1,5.6
34,Camille,Trundle,Ahri,Kai'Sa,Soraka,Urgot,Warwick,Leblanc,Ashe,Pyke,-3,-0.2,-5,-2.9,0,L,-1.5,-2.7,-2.2
35,Rengar,Warwick,Rumble,Caitlyn,Zyra,Darius,diana,Qiyana,Kog'Maw,Morgana,-0.6,0.3,1,-6.6,2.8,L,-1.9,0.2,-0.6
36,Sett,Poppy,Azir,Ezreal,Sona,Jarvan IV,Hecarim,Neeko,Samira,Pyke,4.4,12.6,3.3,-9.2,-1.1,W,-5.2,6.8,2
37,Trundle,Hecarim,Anivia,Sivir,Blitzcrank,Quinn,Malphite,Veigar,Lucian,Senna,-1.1,-24.7,-7,0.9,-2.6,L,-0.9,-10.9,-6.9
38,Illaoi,Rengar,Ryze,Caitlyn,karma,Tryndamere,Jarvan IV,Yone,Swain,Nidalee,3.3,-2.3,2.8,-2.3,-6,W,-4.2,1.3,-0.9
39,Aatrox,Volibear,Sylas,Caitlyn,Vi,Sion,Dr. Mundo,Pantheon,Jhin,Zyra,0,1,1,1,1,W,1,0.7,0.8
40,Renekton,Gangplank,Xerath,Kai'Sa,Seraphine,Malphite,Jarvan IV,Malzahar,Lucian,Rakan,1.2,2.1,1.3,4.4,4.1,W,4.3,1.5,2.6
41,Teemo,Viego,Zed,Ziggs,Leona,Fiora,Kayn,Malzahar,Miss Fortune,Veigar,0.8,2.1,7.5,5.3,-0.6,W,2.4,3.5,3
42,Aatrox,Rek'Sai,Malzahar,Sivir,Senna,Sett,Amumu,Morgana,Jhin,Pyke,3.7,-0.6,0.5,5,-1.5,W,1.8,1.2,1.4
43,Jax,Amumu,Cassiopeia,Miss Fortune,Seraphine,Teemo,Jarvan IV,Fizz,Caitlyn,Leona,5.2,0.7,-2.1,-0.2,-0.4,W,-0.3,1.3,0.6
44,Sion,Shaco,Akali,Sivir,Brand,Shyvana,Zac,Tristana,Ezreal,Yuumi,-3.2,-1.8,-20.6,-5.5,-31.5,L,-18.5,-8.5,-12.5
45,Mordekaiser,Hecarim,Ahri,Kai'Sa,Leona,Renketon,Maokai,Ryze,Miss Fortune,Nautilus,2,4.9,14,1.4,3.1,W,2.3,7,5.1
46,Malphite,Nidalee,Fizz,Miss Fortune,Seraphine,Riven,Viego,Aurelion Sol,Ashe,Yuumi,-21.2,-1.3,1.4,0.7,2,L,1.4,-7,-3.7
47,Riven,Lee Sin,Malzahar,Kai'Sa,Swain,Tryndamere,Rammus,Irelia,Aphelios,Zyra,-8,-8.5,-0.3,-4,-2,L,-3,-5.6,-4.6
48,Nasus,Sylas,Yasuo,Kai'Sa,Nautilus,Irelia,Briar,Leblanc,Ashe,Morgana,3.3,1,-2.2,1.1,2,W,1.6,0.7,1
49,Jax,Master Yi,Vex,Kai'Sa,Zyra,Rammus,Kayn,Akali,Miss Fortune,Swain,0,-3.7,-4,1,-6,L,-2.5,-2.6,-2.5
50,Vladmir,Rammus,Soraka,Miss Fortune,Shaco,Gangplank,Warwick,Rakan,Kai'Sa,Leona,1.8,3,1,5.2,4.5,W,4.9,1.9,3.1
51,Cho'Gath,Pantheon,Heimerdinger,Kai'Sa,Shen,Rammus,Kayn,Vladmir,Xayah,Brand,1.7,2.9,0,23.5,11.4,W,17.5,1.5,7.9
52,Sett,Briar,Lissandra,Kai'Sa,Zyra,Volibear,Master Yi,Ekko,Vayne,Thresh,0.3,0.3,0.8,2.5,0.2,W,1.4,0.5,0.8
53,Pantheon,Nocturne,Viktor,Sivir,Lulu,Darius,Amumu,Xerath,Ezreal,Zyra,0,-0.1,-4.1,0.1,1.2,L,0.7,-1.4,-0.6
54,Urgot,Shaco,Diana,Kai'Sa,Senna,Ornn,Lee Sin,Briar,Tristana,Janna,1,2.9,7.8,2,0.6,W,1.3,3.9,2.9
55,Illaoi,Sejuani,Malzahar,Twitch,Bard,Mordekaiser,Viego,Akali,Kai'Sa,Alistar,-2.9,-4.3,-0.4,-2.3,-3,L,-2.7,-2.5,-2.6
56,Darius,Rengar,Sylas,Ziggs,Miss Fortune,Aatrox,Volibear,Yasuo,Kai'Sa,Lux,-6.3,0.2,-6.5,-0.2,-1.1,L,-0.7,-4.2,-2.8
57,Darius,Warwick,Akshan,Kai'Sa,Fizz,Garen,Briar,Pantheon,Soraka,Lux,0.4,2.6,2.5,-1,0.6,W,-0.2,1.8,1
58,Teemo,Diana,Xerath,Miss Fortune,Nautilus,Cassiopeia,Warwick,Fizz,Kai'Sa,Soraka,1.9,3.2,8.4,1.1,-0.7,W,0.2,4.5,2.8
59,Gwen,Fraves,Ahri,Kai'Sa,Renata Glasc,Vayne,Briar,Fizz,Caitlyn,Thresh,0.4,-0.6,-3,-0.9,-1.1,L,-1,-1.1,-1
60,Malphite,Master Yi,Tryndamere,Kai'Sa,Rakan,Gnar,Nidalee,Ashe,Ezreal,Leona,-12.7,-17.5,-13.9,-2.2,-16.7,L,-9.5,-14.7,-12.6
61,Gangplank,Diana,Akshan,Ziggs,Leona,Yorick,Udyr,Azir,Ashe,Senna,2,-15.4,-8.4,-4.2,0,L,-2.1,-7.3,-5.2
62,Fiora,Kha'Zix,Fizz,Ezreal,Renata Glasc,Udyr,Ekko,Akali,Caitlyn,Morgana,3.8,7.5,3,3.9,5.2,W,4.6,4.8,4.7
63,Garen,Briar,Yasuo,Kai'Sa,Rakan,Lux,Kha'Zix,Sylas,Ezreal,Swain,11.7,1.5,1,0.4,0.4,W,0.4,4.7,3
64,Fiora,Kayn,Ekko,Ezreal,Xerath,Renekton,Lee Sin,Udyr,Jhin,Milio,-6.7,-0.5,2.5,-4.1,-13.8,L,-9,-1.6,-4.5
65,Vayne,Jarvan IV,Xerath,Kai'Sa,Twitch,Kled,Lillia,Neeko,Ashe,Nautilus,2.3,2.9,1.2,0.2,1,W,0.6,2.1,1.5
66,Irelia,Bel'Veth,Akshan,Caitlyn,Xerath,Trundle,Rell,Lissandra,Ezreal,Sona,3.5,4.2,8.5,0.8,5.6,W,3.2,5.4,4.5
67,K'Sante,Rengar,Ahri,Caitlyn,Janna,Garen,Warwick,Ekko,Xayah,Rakan,-2.6,-11.6,-1.8,0.3,-0.8,L,-0.3,-5.3,-3.3
68,Dr. Mundo,Jarvan IV,Veigar,Miss Fortune,Malphite,Garen,Kayn,Naafiri,Kai'Sa,Soraka,1.7,5.7,1.9,1.2,1,W,1.1,3.1,2.3
69,Warwick,Kayn,Ahri,Ezreal,Alistar,Braum,Fiddlesticks,Tristana,Vayne,Anivia,2,0.2,0.5,0.9,-3.2,L,-1.2,0.9,0.1
70,Teemo,Warwick,Kennen,Caitlyn,Nautilus,Wukong,Evelynn,LeBlanc,Kai'Sa,Swain,-1.3,0,1.7,-1.2,5.2,W,2,0.1,0.9
71,Camille,Bel'Veth,Zed,Ziggs,MissFortune,Gangplank,Maokai,Ryze,Caitlyn,Lux,6.4,1.7,10.2,0.8,5.4,W,3.1,6.1,4.9
72,Quinn,Sejauni,Malzahar,Caitlyn,Lux,Pantheon,Vi,Kennen,Tristana,Bard,-0.6,0.6,1.7,1.3,8.8,W,5.1,0.6,2.4
73,Darius,Hecarim,Vex,Kai'Sa,Yuumi,Olaf,Lillia,Irelia,Caitlyn,Neeko,-1,-1.1,-0.7,5,2.6,L,3.8,-0.9,1
74,Jax,Kindred,Twisted Fate,Caitlyn,Lux,Mordekaiser,Lee Sin,Lucian,Varus,Karma,-3.3,-0.9,-7.3,-3.2,-8,L,-5.6,-3.8,-4.5
75,Sion,Lee Sin,Renekton,Caitlyn,Xerath,Volibear,Rengar,Zed,Jinx,Pyke,0.5,-0.3,1.2,-23.4,-3.7,L,-13.6,0.5,-5.1
76,Camille,Lee Sin,Orianna,Sivir,Rell,Ornn,Briar,Naafiri,Draven,Thresh,1,0,7.2,1.9,-0.3,W,0.8,2.7,2
77,Poppy,Evelynn,Gallio,Ziggs,Thresh,Tryndamere,Kindred,Akali,Kai'Sa,Nami,2.4,6.1,2.6,2.7,5.9,W,4.3,3.7,3.9
78,Malphite,Fiddlesticks,Akshan,Lucian,Nami,Udyr,Kindred,Viktor,Xayah,Lux,1.5,-5.3,-2.2,-1,-2.7,L,-1.9,-2,-1.9
79,Sion,Amumu,Galio,Ziggs,Senna,Teemo,Udyr,Talon,Caitlyn,Braum,0.5,14,4,6.5,8.7,W,7.6,6.2,6.7
80,Kayle,Shaco,Yone,Kai'Sa,Senna,Sion,Lee Sin,Katarina,Ashe,Xerath,4.9,2.7,3.3,1.8,4.7,W,3.3,3.6,3.5
81,Vayne,Kha'Zix,Malzahar,Miss Fortune,Shen,Ekko,Lee Sin,Riven,Tristana,Karma,-2.2,0.8,2.7,1.4,0.9,W,1.2,0.4,0.7
82,Sion,Warwick,Malzahar,Ashe,Shaco,Quinn,Viego,Katarina,Ezreal,Seraphine,1.6,0.4,1.9,1.9,2.5,W,2.2,1.3,1.7
83,Pantheon,Twitch,Twisted Fate,Ashe,Nami,Darius,Hecarim,Fizz,Vayne,Lux,0.2,0.6,1.3,3.4,2.3,W,2.9,0.7,1.6
84,K'Sante,Kayn,Syndra,Varus,Zyra,Poppy,Hecarim,Naafiri,Kai'Sa,Nami,-2.1,-2,-1.8,-2,-7.5,L,-4.8,-2,-3.1
85,Gangplank,Master Yi,Leblanc,Miss Fortune,Alistar,Irelia,Briar,Xerath,Caitlyn,Zyra,-6.6,-3.6,-10.6,-0.8,-1.5,L,-1.2,-6.9,-4.6
86,Camille,Olaf,Viktor,Kai'Sa,Pyke,Quinn,Kha'Zix,Syndra,Ashe,Thresh,5.1,-2.2,-0.3,-2.2,--6.2,W,-2.2,0.9,0.1
87,Garen,Evelynn,Vex,Miss Fortune,Leona,Darius,Ekko,Ryze,Ashe,Sona,-2.3,-7,-3,-0.5,-3,L,-1.8,-4.1,-3.2
88,Nasus,Evelynn,Orianna,Miss Fortune,Thresh,Malphite,Hecarim,Fizz,Ezreal,Shaco,3.9,1.5,-0.1,3,6.3,W,4.7,1.8,2.9
89,Gragas,Trundle,Xerath,Sivir,Milio,Mordekaiser,Bel'Veth,Talon,Ezreal,Nami,-3.1,-7,-2.2,-3,-1.6,L,-2.3,-4.1,-3.4
90,Illaoi,Lillia,Cho'Gath,Xayah,Morgana,Sion,Rengar,Tristana,Ashe,Lux,-3,-8.4,-5.2,-4.2,-15.7,L,-10,-5.5,-7.3
91,Dr. Mundo,Jax,Soraka,Ezreal,Karma,Rammus,Evelynn,Orianna,Jhin,Nautilus,-1.5,-6.5,-5.3,-4.3,0.8,L,-1.8,-4.4,-3.4
92,Quinn,Nunu & Willump,Yone,Ashe,Lux,Nocturne,Amumu,Fizz,Vayne,Swain,-0.5,-1.7,-23.6,-3.8,-7.5,L,-5.7,-8.6,-7.4
93,Garen,Shaco,Malzahar,Ezreal,Thresh,Renekton,Nocturne,Annie,Miss Fortune,Nautilus,0.1,3.9,3.8,21.6,0.6,W,11.1,2.6,6
94,Volibear,Xin Zhao,Viktor,Ashe,Rakan,Fiora,Master Yi,Ahri,Samira,Senna,-9.8,-10,-8.2,-7.8,-2,L,-4.9,-9.3,-7.6
95,Illaoi,Kayn,Galio,Ezreal,Senna,Teemo,Rammus,Yone,Twitch,Rakan,0.2,-10.8,-0.9,-7,-4.9,L,-6,-3.8,-4.7
96,Sion,Shaco,Yone,Caitlyn,Taric,Gragas,Jarvan IV,Ekko,Ashe,Nautilus,3.7,8.5,8,-1,1.3,W,0.2,6.7,4.1
97,Malphite,Graves,Zed,Jhin,Neeko,Illaoi,Briar,Xerath,Samira,Lux,-1,-1.7,-14.3,-0.8,-2.5,L,-1.7,-5.7,-4.1
98,Darius,Kayn,Viktor,Miss Fortune,Nautilus,tryndamere,Briar,Lux,Ezreal,Kayle,-12.6,-1.8,-4.9,-16,-10.1,L,-13.1,-6.4,-9.1
99,Garen,Lillia,Tristana,Sivir,Swain,Heimerdinger,Lee Sin,Xerath,Kai'Sa,Senna,-1.7,0.7,1.2,9.7,-1.1,W,4.3,0.1,1.8
100,Udyr,Kha'Zix,Fizz,Caitlyn,Seraphine,Yone,Kayn,Katarina,Miss Fortune,Renata Glasc,-2.2,-0.9,0.5,0.8,1,L,0.9,-0.9,-0.2
